"Turismo de naturaleza(Factores de éxito y fracaso) - TurNatur"  
"Instituto de Investigaciones Económicas - IIEc"  
"Universidad Nacional Autónoma de México - UNAM"  
  
"Empresas localizadas en el estado de : Morelos  
  
"Municipio","Localidad","Clave empresa","Razon social"  
"Amacuzac","Amacuzac","2046","Parque ecoturistico de Amacuzac"  
"Coatl?n del R?o","Apancingo","2090","KOATL-TLAN"  
"Coatl?n del R?o","Coatl?n del R?o","2070","ECOTURISMO RURAL VALLADOLID RIOS Y ASOCIADOS"  
"Coatl?n del R?o","Coatl?n del R?o","2122","RANCHO COATLAN"  
"Coatl?n del R?o","Coatl?n del R?o","1303603","TRES GENERACIONES DE MUJERES"  
"Cuautla","Ampliaci?n Iztacc?huatl","2135","IZTACZIHUATL"  
"Cuernavaca","Buenavista del Monte","324","Villa Calmeca Hostal Ecotur?stico"  
"Cuernavaca","Cuernavaca","2133","CALMECAC MASCARONES"  
"Cuernavaca","Cuernavaca","171","Coscatl Turismo Alternativo"  
"Cuernavaca","Cuernavaca","172","Eco Escapes M?xico"  
"Cuernavaca","Cuernavaca","170","M?xico Outdoor Adventure (Operadora)"  
"Cuernavaca","Loma de los Amates (Loma de la Lagunilla)","174","Morelos Trails (Operadora)"  
"Cuernavaca","Santa Mar?a","2189","Club Santa Mar?a"  
"Huitzilac","Coajomulco","158","Ecoturismo Totl?n. Parque recreativo familiar."  
"Jantetelco","Chalcatzingo","1640","Centro Tur?stico "Piedra Rajada""  
"Jantetelco","Jantetelco","2017","Centro Ecotur?stico Cerro El Chumil"  
"Jiutepec","Colonia Toma de la Rueda","187","Uni?n de Pobladores de Comunidades Posesionarias del Parque Nacional Grutas de Cacahuamilpa"  
"Jonacatepec","Jonacatepec","2045","Parque Ecologico Chalcatzingo"  
"Miacatl?n","La Campesina (Colonia los Tulipanes)","2576","La Campesina"  
"Miacatl?n","Miacatl?n","1303419","SERVICIOS ECOTURISTICOS DE PRODUCCI?N AGROALIMENTARIA"  
"Puente de Ixtla","El Arco","175","Apotla Parque de Aventura"  
"Puente de Ixtla","Xoxocotla","1641","Centro ecotur?stico ?Playa Ejidal Xoxocotla?"  
"Temixco","Colonia Adolfo L?pez Mateos","160","Parque Ecotur?stico Alta Palmira"  
"Temixco","Cuentepec","1642","Cuentepec Extremo"  
"Temixco","San Agust?n Tetlama","1554","CENTRO ECOTURISTICO TETLAMATZIN
CENTRO ECOTURISTICO TETLAMATZIN"  
"Temixco","Temixco","1303887","Parque Ecoturistico Pueblo Viejo "la Aldea""  
"Tepalcingo","Atotonilco","1303567","BALNEARIO TERMAS DE ATOTONILCO"  
"Tepalcingo","El Lim?n de Cuauchichinola","2319","Rancho El Lim?n"  
"Tepalcingo","Ixtlilco el Grande","2320","Centro Ecotur?stico Lobos Ixtlilco el Grande"  
"Tepalcingo","Tepalcingo","2069","COMERCIALIZADORA BET-EL S.P.R. DE R.I."  
"Tepoztl?n","Amatl?n de Quetzalc?atl","157","Atekokolli"  
"Tepoztl?n","Amatl?n de Quetzalc?atl","162","Ecoturismo Comunitario Quetzalcoatl"  
"Tepoztl?n","El Boh?o (Techcualichcuac)","1303565","COMIT? DEL COMISARIO EJIDAL TEPOZTLAN MORELOS"  
"Tepoztl?n","Huachinantitla","1303596","CABA?AS HUACHINANTITLA"  
"Tepoztl?n","Huehuec?yotl","177","Ecoaldea Huehuecoyotl"  
"Tepoztl?n","San Andr?s de la Cal","2124","Ecoturismo de Aventura en San Andr?s de la Cal"  
"Tepoztl?n","San Juan Tlacotenco","161","ECOGUIAS AMBIENTALES TEPEYOLOH"  
"Tepoztl?n","Santo Domingo Ocotitl?n","169","Campo Escuela Meztitla"  
"Tepoztl?n","Santo Domingo Ocotitl?n","2138","ECOTURISMO CASA DE LAS GAVIOTAS"  
"Tepoztl?n","Tepoztl?n","163","Ecogu?as Tlayecanqueh"  
"Tepoztl?n","Tiamacosclippac","1303519","Proyecto Tur?stico Tiamacosclippac"  
"Tetela del Volc?n","Hueyapan (San Andr?s Hueyapan)","1643","COMIT? PARA EL DESARROLLO DE HUEYAPAN"  
"Tetela del Volc?n","Tetela del Volc?n","164","Bajo las Maravillas de El Salto de Tetela del Volc?n"  
"Tetela del Volc?n","Tetela del Volc?n","2322","Sha-nad?"  
"Tlaltizap?n de Zapata","Bonifacio Garc?a (Colonia Alejandra)","2018","Balneario Ejidal Santa Isabel"  
"Tlaltizap?n de Zapata","Las Estacas","173","Parque Acu?tico Natural Las Estacas"  
"Tlaquiltenango","Huixastla","2318","Centro Eco-tur?stico ?Los Cascabeles?"  
"Tlaquiltenango","Huixastla","2019","Las Tortugas de Huixastla"  
"Tlaquiltenango","La Mezquitera (El Astillero)","168","Ex Hacienda Ixtoluca - R?o Astillero, S. P. R. de R. L."  
"Tlaquiltenango","Lorenzo V?zquez (Santa Cruz)","1553","Ejido Lorenzo V?zquez"  
"Tlaquiltenango","Tlaquiltenango","2121","ECOTURISMO EL PARAISO ENRAMADO SC DE RL DE CV"  
"Tlayacapan","Los Laureles (San Jos? de los Laureles)","165","Comunidad Ind?gena San Jos? de los Laureles / Proyecto EcotUr?stico de la Mujer Campesina"  
"Tlayacapan","Tlayacapan","1304335","CENTRO ECOTURISTICO COMUNITARIO DE TLATOANI"  
"Totolapan","Nepopualco","166","Parque Ecotur?stico los Venados"  
"Totolapan","Nepopualco","1304169","Parque ecoturistico Nepopualito"  
"Xochitepec","Alpuyeca","2091","AZTEK GOTCHA"  
"Xochitepec","Palo Bolero","167","Balneario Palo Bolero"  
"Xochitepec","Xochitepec","1296579","Eco - Turismo Jardines de Xochitepec"  
"Yautepec","Yautepec de Zaragoza","2137","Ejido Las Aidas"  
"Yautepec","Yautepec de Zaragoza","2136","ZARZAY YAUTEPEC"  
"Zacatepec","Zacatepec de Hidalgo","2082","Las Minas de Villa"  
